unit,duration,input.doc_id,input.index,input.sentence,input.sentence_id,input.validate_verbs,job,metrics.avg_annotations,metrics.avg_cos_clarity,metrics.avg_unique_annotations,output.selectedtags_desc,output.selectedtags_desc.annotations,output.selectedtags_desc.cos_clarity,output.selectedtags_desc.unique_annotations,worker,uqs,uqs_initial,unit_annotation_score,unit_annotation_score_initial
1368375533,78.2,wsj_0675,551,"Markets Stocks : Volume 170,330,000 shares .",26,Markets_0_7,event_validation,15.0,0.832050294338,2.0,"Counter({'no_event': 9, 'markets_0_7': 6})",15,0.832050294338,2,15,0.461211189556,0.485714285714,"Counter({'no_event': 0.5051707970776199, 'markets_0_7': 0.49482920292238014})","Counter({'no_event': 0.6, 'markets_0_7': 0.4})"
1368375534,20.2,wsj_0169,552,The other concern was n't identified .,1,concern_10_17 was_18_21 identified_26_36,event_validation,28.0,0.692934867184,4.0,"Counter({'identified_26_36': 11, 'concern_10_17': 9, 'was_18_21': 7, 'no_event': 1})",28,0.692934867184,4,15,0.654641463204,0.533840363465,"Counter({'identified_26_36': 0.8043013840438151, 'concern_10_17': 0.7077225403873328, 'was_18_21': 0.6084293965318608, 'no_event': 0.014592920696630868})","Counter({'identified_26_36': 0.7333333333333333, 'concern_10_17': 0.6, 'was_18_21': 0.4666666666666667, 'no_event': 0.06666666666666667})"
1368375535,26.9333333333,wsj_0816,553,Yield on the issue was 7.88 % .,21,Yield_0_5 on_6_8 was_19_22,event_validation,27.0,0.766651878,4.0,"Counter({'yield_0_5': 12, 'was_19_22': 8, 'on_6_8': 6, 'no_event': 1})",27,0.766651878,4,15,0.639516832086,0.566943614099,"Counter({'yield_0_5': 0.8372712891374705, 'was_19_22': 0.655699024023521, 'on_6_8': 0.5458326039989063, 'no_event': 0.03760701391992785})","Counter({'yield_0_5': 0.8, 'was_19_22': 0.5333333333333333, 'on_6_8': 0.4, 'no_event': 0.06666666666666667})"
1368375536,44.7333333333,wsj_0695,554,Giant has interests in cement making and newsprint .,3,has_6_9 interests_10_19 in_20_22,event_validation,29.0,0.737154140201,4.0,"Counter({'interests_10_19': 12, 'has_6_9': 9, 'in_20_22': 6, 'no_event': 2})",29,0.737154140201,4,15,0.653561330623,0.544662236749,"Counter({'interests_10_19': 0.8828594873588617, 'has_6_9': 0.7031349761521108, 'in_20_22': 0.5188047281449684, 'no_event': 0.07211741635659935})","Counter({'interests_10_19': 0.8, 'has_6_9': 0.6, 'in_20_22': 0.4, 'no_event': 0.13333333333333333})"
1368375537,26.8,PRI19980303.2000.2550,555,"For The World , I 'm Nancy Marshalll .",31,For_0_3 m_18_20,event_validation,19.0,0.7155417528,3.0,"Counter({'no_event': 8, 'for_0_3': 6, 'm_18_20': 5})",19,0.7155417528,3,15,0.403960366514,0.414145536898,"Counter({'for_0_3': 0.5014222477122731, 'm_18_20': 0.4511587326883236, 'no_event': 0.42125538702667026})","Counter({'no_event': 0.5333333333333333, 'for_0_3': 0.4, 'm_18_20': 0.3333333333333333})"
1368375538,23.7333333333,PRI19980205.2000.1890,556,For The World I 'm Nancy Marshall in Washington .,7,For_0_3 m_16_18 in_34_36,event_validation,25.0,0.558660819127,4.0,"Counter({'no_event': 7, 'for_0_3': 6, 'm_16_18': 6, 'in_34_36': 6})",25,0.558660819127,4,15,0.412360068823,0.381571317746,"Counter({'in_34_36': 0.5480006452845286, 'm_16_18': 0.5352255878261812, 'for_0_3': 0.5160568729721458, 'no_event': 0.3385927851821301})","Counter({'no_event': 0.4666666666666667, 'for_0_3': 0.4, 'm_16_18': 0.4, 'in_34_36': 0.4})"
1368375539,34.1333333333,wsj_0585,557,The SampP 500 is often used in arbitrage strategies .,4,is_14_16 used_23_27 in_28_30 arbitrage_31_40 strategies_41_51,event_validation,47.0,0.639676327339,5.0,"Counter({'used_23_27': 14, 'arbitrage_31_40': 11, 'strategies_41_51': 8, 'is_14_16': 7, 'in_28_30': 7})",47,0.639676327339,5,15,0.716682356418,0.654072027616,"Counter({'used_23_27': 0.9656055754076489, 'arbitrage_31_40': 0.8122328900433818, 'strategies_41_51': 0.6315422597113933, 'is_14_16': 0.60493492129783, 'in_28_30': 0.5834060121440652})","Counter({'used_23_27': 0.9333333333333333, 'arbitrage_31_40': 0.7333333333333333, 'strategies_41_51': 0.5333333333333333, 'is_14_16': 0.4666666666666667, 'in_28_30': 0.4666666666666667})"
1368375540,18.5333333333,APW19980818.0515,558,`` I am truly in the presence of heroes . '',13,am_5_7 in_14_16,event_validation,23.0,0.712470499879,3.0,"Counter({'am_5_7': 10, 'in_14_16': 9, 'no_event': 4})",23,0.712470499879,3,15,0.619728040806,0.494957740462,"Counter({'am_5_7': 0.7921841331454648, 'in_14_16': 0.7095282014833154, 'no_event': 0.16570450193081213})","Counter({'am_5_7': 0.6666666666666666, 'in_14_16': 0.6, 'no_event': 0.26666666666666666})"
1368375541,28.0666666667,wsj_0542,559,Telerate provides information about financial markets through an electronic network .,11,provides_9_17 markets_46_53,event_validation,24.0,0.813733471207,2.0,"Counter({'provides_9_17': 14, 'markets_46_53': 10})",24,0.813733471207,2,15,0.852389740899,0.801750154134,"Counter({'provides_9_17': 0.9664269701746865, 'markets_46_53': 0.7477944623851985})","Counter({'provides_9_17': 0.9333333333333333, 'markets_46_53': 0.6666666666666666})"
1368375542,29.9333333333,PRI19980303.2000.2550,560,"And that is a condition of the application , then .",21,is_9_11 condition_14_23,event_validation,23.0,0.757271229904,3.0,"Counter({'condition_14_23': 11, 'is_9_11': 9, 'no_event': 3})",23,0.757271229904,3,15,0.727273090116,0.539308733314,"Counter({'condition_14_23': 0.872854189353027, 'is_9_11': 0.7575012078238468, 'no_event': 0.08284308394883104})","Counter({'condition_14_23': 0.7333333333333333, 'is_9_11': 0.6, 'no_event': 0.2})"
1368375543,24.0,VOA19980303.1600.2745,561,VOA 's Jim Teple has details from our southeast news bureau .,3,has_17_20 details_21_28,event_validation,22.0,0.7453559925,3.0,"Counter({'has_17_20': 10, 'details_21_28': 8, 'no_event': 4})",22,0.7453559925,3,15,0.698240076658,0.474276094031,"Counter({'has_17_20': 0.8644754351981054, 'details_21_28': 0.7252235403926552, 'no_event': 0.09848481553899632})","Counter({'has_17_20': 0.6666666666666666, 'details_21_28': 0.5333333333333333, 'no_event': 0.26666666666666666})"
1368375544,44.8,wsj_0745,562,Politics also influences the government 's thinking on the anti-takeover restriction .,25,influences_14_24 on_52_54,event_validation,23.0,0.866578244826,3.0,"Counter({'influences_14_24': 14, 'on_52_54': 8, 'no_event': 1})",23,0.866578244826,3,15,0.840640394451,0.732772623781,"Counter({'influences_14_24': 0.9802860104486903, 'on_52_54': 0.7260547721103918, 'no_event': 0.01971398955130956})","Counter({'influences_14_24': 0.9333333333333333, 'on_52_54': 0.5333333333333333, 'no_event': 0.06666666666666667})"
1368375545,34.4,wsj_0586,563,What 's happening here is n't justified by the fundamentals . '',34,s_5_7 happening_8_17 here_18_22 is_23_25,event_validation,38.0,0.723922765993,5.0,"Counter({'happening_8_17': 14, 's_5_7': 8, 'here_18_22': 8, 'is_23_25': 7, 'no_event': 1})",38,0.723922765993,5,15,0.747036109039,0.63358361373,"Counter({'happening_8_17': 0.9802860104486903, 's_5_7': 0.7260547721103918, 'here_18_22': 0.7260547721103918, 'is_23_25': 0.6541336764989502, 'no_event': 0.01971398955130956})","Counter({'happening_8_17': 0.9333333333333333, 's_5_7': 0.5333333333333333, 'here_18_22': 0.5333333333333333, 'is_23_25': 0.4666666666666667, 'no_event': 0.06666666666666667})"
1368375546,32.8,wsj_0555,564,Waxman sells a variety of hardware products for the home repair market .,4,sells_7_12 for_44_47 market_64_70,event_validation,32.0,0.779812867365,3.0,"Counter({'sells_7_12': 15, 'for_44_47': 9, 'market_64_70': 8})",32,0.779812867365,3,15,0.822970822528,0.771050374656,"Counter({'sells_7_12': 1.0, 'for_44_47': 0.7881905211592246, 'market_64_70': 0.6738476660502597})","Counter({'sells_7_12': 1.0, 'for_44_47': 0.6, 'market_64_70': 0.5333333333333333})"
1368375547,17.0666666667,VOA19980331.1700.1533,565,"Currently , transplant organs are rationed through a regional system of distribution .",2,transplant_12_22 are_30_33,event_validation,23.0,0.766651878,3.0,"Counter({'transplant_12_22': 12, 'are_30_33': 10, 'no_event': 1})",23,0.766651878,3,15,0.806713656568,0.65658214759,"Counter({'transplant_12_22': 0.8762722044926363, 'are_30_33': 0.830068578066446, 'no_event': 0.01971398955130956})","Counter({'transplant_12_22': 0.8, 'are_30_33': 0.6666666666666666, 'no_event': 0.06666666666666667})"
1368375548,30.9333333333,ABC19980108.1830.0711,566,"In Hong Kong , is always belongs to the seller 's market .",12,In_0_2 is_15_17 belongs_25_32 seller_40_46 market_50_56,event_validation,51.0,0.562039011517,5.0,"Counter({'belongs_25_32': 13, 'market_50_56': 11, 'seller_40_46': 10, 'is_15_17': 9, 'in_0_2': 8})",51,0.562039011517,5,15,0.813759129524,0.63715135887,"Counter({'belongs_25_32': 0.9604852515053414, 'market_50_56': 0.896054086255506, 'seller_40_46': 0.8763051764136325, 'is_15_17': 0.7614162444567278, 'in_0_2': 0.7416504058039428})","Counter({'belongs_25_32': 0.8666666666666667, 'market_50_56': 0.7333333333333333, 'seller_40_46': 0.6666666666666666, 'is_15_17': 0.6, 'in_0_2': 0.5333333333333333})"
1368375549,30.1333333333,wsj_0810,567,One big question now is the likely role of Mr. Fournier 's allies .,18,question_8_16 is_21_23 likely_28_34 role_35_39,event_validation,39.0,0.554700196225,5.0,"Counter({'question_8_16': 10, 'role_35_39': 9, 'is_21_23': 8, 'likely_28_34': 8, 'no_event': 4})",39,0.554700196225,5,15,0.669030928262,0.44869408501,"Counter({'question_8_16': 0.8707100348988417, 'role_35_39': 0.807107095988988, 'likely_28_34': 0.7495149692177047, 'is_21_23': 0.6870213432262942, 'no_event': 0.10863004971003962})","Counter({'question_8_16': 0.6666666666666666, 'role_35_39': 0.6, 'is_21_23': 0.5333333333333333, 'likely_28_34': 0.5333333333333333, 'no_event': 0.26666666666666666})"
1368375550,53.0,wsj_0150,568,Its subsidiaries ' services are marketed by closely held A.L. Williams amp Associates .,6,services_19_27 are_28_31 marketed_32_40 held_52_56,event_validation,43.0,0.638345053623,4.0,"Counter({'marketed_32_40': 14, 'held_52_56': 11, 'services_19_27': 10, 'are_28_31': 8})",43,0.638345053623,4,15,0.823667861342,0.704043993403,"Counter({'marketed_32_40': 0.9794384968109988, 'held_52_56': 0.8613053164379469, 'services_19_27': 0.8415234824256586, 'are_28_31': 0.6837487604490341})","Counter({'marketed_32_40': 0.9333333333333333, 'held_52_56': 0.7333333333333333, 'services_19_27': 0.6666666666666666, 'are_28_31': 0.5333333333333333})"
1368375551,17.6666666667,APW19991008.0151,569,"The victims in Nairobi , Kenya , numbered 213 , including 12 Americans .",14,in_12_14 including_48_57,event_validation,22.0,0.806559132617,3.0,"Counter({'including_48_57': 11, 'in_12_14': 7, 'no_event': 4})",22,0.806559132617,3,15,0.649310779957,0.502847522602,"Counter({'including_48_57': 0.8626542875404272, 'in_12_14': 0.6253031635483891, 'no_event': 0.13734571245957297})","Counter({'including_48_57': 0.7333333333333333, 'in_12_14': 0.4666666666666667, 'no_event': 0.26666666666666666})"
1368375552,18.3333333333,wsj_0584,570,`` There 's nothing preventing BellSouth from buying up shares in the meanwhile . '',36,s_9_11 preventing_20_30 buying_46_52 in_63_65,event_validation,43.0,0.658426921959,4.0,"Counter({'preventing_20_30': 15, 'buying_46_52': 14, 'in_63_65': 7, 's_9_11': 7})",43,0.658426921959,4,15,0.8332029865,0.810456949966,"Counter({'preventing_20_30': 1.0, 'buying_46_52': 0.9641025168748453, 'in_63_65': 0.6222200028313875, 's_9_11': 0.6222200028313875})","Counter({'preventing_20_30': 1.0, 'buying_46_52': 0.9333333333333333, 'in_63_65': 0.4666666666666667, 's_9_11': 0.4666666666666667})"
1368375553,15.8666666667,wsj_0973,571,GNP is the total value of the nation 's output of goods and services .,7,is_4_6 services_60_68,event_validation,21.0,0.709299365615,3.0,"Counter({'is_4_6': 9, 'services_60_68': 8, 'no_event': 4})",21,0.709299365615,3,15,0.559029710794,0.440125747006,"Counter({'is_4_6': 0.7367221810995266, 'services_60_68': 0.6425160546188416, 'no_event': 0.17001498232957757})","Counter({'is_4_6': 0.6, 'services_60_68': 0.5333333333333333, 'no_event': 0.26666666666666666})"
1368375554,23.9333333333,wsj_0585,572,Kidder Peabody does program trading for its own as well as clients ' accounts .,17,does_15_19 program_20_27 trading_28_35 for_36_39 own_44_47,event_validation,42.0,0.703526470681,6.0,"Counter({'trading_28_35': 14, 'program_20_27': 10, 'does_15_19': 7, 'for_36_39': 5, 'own_44_47': 5, 'no_event': 1})",42,0.703526470681,6,15,0.671296897786,0.607749628662,"Counter({'trading_28_35': 0.975377457921233, 'program_20_27': 0.7230592708986954, 'does_15_19': 0.5898389805316413, 'for_36_39': 0.4597568345241671, 'own_44_47': 0.4597568345241671, 'no_event': 0.024622542078767098})","Counter({'trading_28_35': 0.9333333333333333, 'program_20_27': 0.6666666666666666, 'does_15_19': 0.4666666666666667, 'for_36_39': 0.3333333333333333, 'own_44_47': 0.3333333333333333, 'no_event': 0.06666666666666667})"
1368375555,24.4,wsj_0670,573,The extrusion unit produces bare and painted custom extrusions for building products and construction industries .,9,produces_19_27 for_63_66 construction_89_101,event_validation,32.0,0.767466765145,3.0,"Counter({'produces_19_27': 15, 'construction_89_101': 11, 'for_63_66': 6})",32,0.767466765145,3,15,0.809812375467,0.795175614401,"Counter({'produces_19_27': 1.0, 'construction_89_101': 0.7920773772360673, 'for_63_66': 0.529542082323109})","Counter({'produces_19_27': 1.0, 'construction_89_101': 0.7333333333333333, 'for_63_66': 0.4})"
1368375556,24.1333333333,wsj_0662,574,"Jayark , New York , distributes and rents audio-visual equipment and prints promotional ads for retailers .",6,distributes_20_31 rents_36_41 for_92_95,event_validation,34.0,0.710270585716,3.0,"Counter({'distributes_20_31': 15, 'rents_36_41': 14, 'for_92_95': 5})",34,0.710270585716,3,15,0.87074221813,0.876124366842,"Counter({'distributes_20_31': 1.0, 'rents_36_41': 0.944092666776917, 'for_92_95': 0.4692931911207311})","Counter({'distributes_20_31': 1.0, 'rents_36_41': 0.9333333333333333, 'for_92_95': 0.3333333333333333})"
1368375557,69.1333333333,wsj_0918,575,"The largest beneficiary will be Seagram Co. , which owns about 23 % of Du Pont .",10,beneficiary_12_23 be_29_31 owns_52_56,event_validation,27.0,0.750193773418,4.0,"Counter({'owns_52_56': 11, 'be_29_31': 7, 'beneficiary_12_23': 6, 'no_event': 3})",27,0.750193773418,4,15,0.55542638551,0.464615330389,"Counter({'owns_52_56': 0.8151022567587891, 'be_29_31': 0.5633241906363942, 'beneficiary_12_23': 0.4962832511293605, 'no_event': 0.11785680373417728})","Counter({'owns_52_56': 0.7333333333333333, 'be_29_31': 0.4666666666666667, 'beneficiary_12_23': 0.4, 'no_event': 0.2})"
1368375558,21.8,wsj_1006,576,"Mr. Nadeau also is chairman and chief executive of Unigesco Inc. , Provigo 's controlling shareholder .",9,is_16_18 chairman_19_27 controlling_78_89,event_validation,24.0,0.888661705132,4.0,"Counter({'controlling_78_89': 13, 'is_16_18': 5, 'chairman_19_27': 4, 'no_event': 2})",24,0.888661705132,4,15,0.644746166367,0.594267135117,"Counter({'controlling_78_89': 0.9181328780045529, 'is_16_18': 0.4421825714626496, 'chairman_19_27': 0.3535563895389027, 'no_event': 0.08186712199544714})","Counter({'controlling_78_89': 0.8666666666666667, 'is_16_18': 0.3333333333333333, 'chairman_19_27': 0.26666666666666666, 'no_event': 0.13333333333333333})"
1368375559,40.6,NYT19980206.0460,577,"The less money the government needs to borrow , the more is freed for private investment .",22,needs_30_35 borrow_39_45 is_57_59 freed_60_65 for_66_69 investment_78_88,event_validation,49.0,0.554108515848,6.0,"Counter({'borrow_39_45': 12, 'investment_78_88': 12, 'freed_60_65': 10, 'needs_30_35': 7, 'is_57_59': 4, 'for_66_69': 4})",49,0.554108515848,6,15,0.650135625505,0.6160431065,"Counter({'investment_78_88': 0.8453923461019623, 'borrow_39_45': 0.8407530655185433, 'freed_60_65': 0.7011338374565057, 'needs_30_35': 0.5154295709310889, 'is_57_59': 0.32944902068735255, 'for_66_69': 0.32944902068735255})","Counter({'borrow_39_45': 0.8, 'investment_78_88': 0.8, 'freed_60_65': 0.6666666666666666, 'needs_30_35': 0.4666666666666667, 'is_57_59': 0.26666666666666666, 'for_66_69': 0.26666666666666666})"
1368375560,31.1333333333,wsj_0768,578,That 's even less than the 4.35 % total return of the Merrill Lynch High-Yield Index .,32,s_5_7 return_40_46,event_validation,19.0,0.70436072506,3.0,"Counter({'return_40_46': 8, 'no_event': 7, 's_5_7': 4})",19,0.70436072506,3,15,0.432744816608,0.422035319038,"Counter({'return_40_46': 0.6194383957848064, 'no_event': 0.38056160421519364, 's_5_7': 0.32944902068735255})","Counter({'return_40_46': 0.5333333333333333, 'no_event': 0.4666666666666667, 's_5_7': 0.26666666666666666})"
1368375561,23.6666666667,wsj_0321,579,"Mesa flies to 42 cities in New Mexico , Arizona , Wyoming , Colorado and Texas .",6,flies_5_10 in_24_26,event_validation,19.0,0.966234939601,2.0,"Counter({'flies_5_10': 15, 'in_24_26': 4})",19,0.966234939601,2,15,0.861663008322,0.877263794021,"Counter({'flies_5_10': 1.0, 'in_24_26': 0.3253574119996391})","Counter({'flies_5_10': 1.0, 'in_24_26': 0.26666666666666666})"
1368375562,31.0,wsj_0781,580,"Of the big computer makers , only Apple Computer Co. bases its machines on Motorola chips instead .",47,bases_53_58 on_72_74,event_validation,20.0,0.86424162145,3.0,"Counter({'bases_53_58': 11, 'on_72_74': 5, 'no_event': 4})",20,0.86424162145,3,15,0.551414811333,0.497268604149,"Counter({'bases_53_58': 0.7966396632539581, 'on_72_74': 0.39458752571327343, 'no_event': 0.20336033674604206})","Counter({'bases_53_58': 0.7333333333333333, 'on_72_74': 0.3333333333333333, 'no_event': 0.26666666666666666})"
1368376174,24.7333333333,wsj_1008,581,A reinsurance company effectively insures insurance companies that wish to spread the risk of a particular policy .,6,wish_67_71 spread_75_81 policy_107_113,event_validation,34.0,0.696526033147,3.0,"Counter({'spread_75_81': 14, 'wish_67_71': 12, 'policy_107_113': 8})",34,0.696526033147,3,15,0.847956431664,0.767203885053,"Counter({'spread_75_81': 0.9750994299645683, 'wish_67_71': 0.8834584398402687, 'policy_107_113': 0.7190884956087248})","Counter({'spread_75_81': 0.9333333333333333, 'wish_67_71': 0.8, 'policy_107_113': 0.5333333333333333})"
1368376175,117.266666667,CNN19980227.2130.0067,582,"Army of god is a secret organization that hates abortion providers , homosexuals and the US government .",20,is_12_14 abortion_48_56,event_validation,22.0,0.868243142124,2.0,"Counter({'abortion_48_56': 14, 'is_12_14': 8})",22,0.868243142124,2,15,0.83047123814,0.777123616633,"Counter({'abortion_48_56': 0.9571578663077432, 'is_12_14': 0.7053893562321087})","Counter({'abortion_48_56': 0.9333333333333333, 'is_12_14': 0.5333333333333333})"
1368376176,81.0666666667,wsj_0159,583,"Cara , a food services chain operator and Unicorp , a holding company , are based in Toronto .",8,services_14_22 holding_54_61 are_72_75 based_76_81 in_82_84,event_validation,42.0,0.594811877479,6.0,"Counter({'holding_54_61': 11, 'based_76_81': 9, 'services_14_22': 8, 'are_72_75': 6, 'in_82_84': 6, 'no_event': 2})",42,0.594811877479,6,15,0.662834098644,0.454126565172,"Counter({'holding_54_61': 0.8604713001541026, 'based_76_81': 0.8170371696447283, 'services_14_22': 0.7594206061981928, 'are_72_75': 0.661602531577476, 'in_82_84': 0.661602531577476, 'no_event': 0.05177512074920757})","Counter({'holding_54_61': 0.7333333333333333, 'based_76_81': 0.6, 'services_14_22': 0.5333333333333333, 'are_72_75': 0.4, 'in_82_84': 0.4, 'no_event': 0.13333333333333333})"
1368376177,31.0,VOA19980331.1700.1533,584,It 's between two to six days for every one uh of the sickest patients across the country .,9,s_3_5 for_30_33,event_validation,22.0,0.628539361055,3.0,"Counter({'for_30_33': 8, 'no_event': 7, 's_3_5': 7})",22,0.628539361055,3,15,0.574658166581,0.447140452079,"Counter({'for_30_33': 0.7540645014612033, 's_3_5': 0.7089794295480745, 'no_event': 0.24593549853879668})","Counter({'for_30_33': 0.5333333333333333, 'no_event': 0.4666666666666667, 's_3_5': 0.4666666666666667})"
1368376178,37.5333333333,wsj_0781,585,`` It 's going to be the leading edge technology in personal computers for the next few years .,49,s_6_8 going_9_14 be_18_20 in_49_51 for_71_74,event_validation,45.0,0.680703293657,6.0,"Counter({'going_9_14': 14, 'be_18_20': 8, 'for_71_74': 8, 's_6_8': 7, 'in_49_51': 7, 'no_event': 1})",45,0.680703293657,6,15,0.70520673145,0.600742105741,"Counter({'going_9_14': 0.9659555518092565, 'for_71_74': 0.7253229160915726, 'be_18_20': 0.7171310704282545, 's_6_8': 0.681956286620405, 'in_49_51': 0.681956286620405, 'no_event': 0.034044448190743454})","Counter({'going_9_14': 0.9333333333333333, 'be_18_20': 0.5333333333333333, 'for_71_74': 0.5333333333333333, 's_6_8': 0.4666666666666667, 'in_49_51': 0.4666666666666667, 'no_event': 0.06666666666666667})"
1368376179,20.8666666667,APW19991008.0265,586,"Eight of those are in custody , but the rest remained fugitives , including Saudi radical Osama bin Laden .",9,are_15_18 in_19_21 remained_45_53 including_66_75,event_validation,39.0,0.6642689694,5.0,"Counter({'remained_45_53': 13, 'including_66_75': 10, 'are_15_18': 8, 'in_19_21': 7, 'no_event': 1})",39,0.6642689694,5,15,0.752148262174,0.592506699387,"Counter({'remained_45_53': 0.9543095155423305, 'including_66_75': 0.8337927716249002, 'are_15_18': 0.7023885175023196, 'in_19_21': 0.681956286620405, 'no_event': 0.025258253575754726})","Counter({'remained_45_53': 0.8666666666666667, 'including_66_75': 0.6666666666666666, 'are_15_18': 0.5333333333333333, 'in_19_21': 0.4666666666666667, 'no_event': 0.06666666666666667})"
